baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
PIP5K1A	5102.9352159546	-0.171682930400917	0.0384311423378394	-4.4672866835883	7.92179384177582e-06	0.00217707144605521
ZEB2	5065.938395743	-0.254114105241177	0.057086814104134	-4.45136252966645	8.53271495081061e-06	0.0022863409710697
DAXX	927.367618364546	1.37400309780786	0.309072782394824	4.44556485097626	8.76612307547534e-06	0.00229159285665719
MED15	5782.74419480442	-0.1796760905653	0.0406249627086619	-4.42280013532149	9.7429863688338e-06	0.00248631733098002
VGLL4	2571.06254768765	0.241583664989527	0.0549970232534591	4.39266801543359	1.11968038179988e-05	0.00272743962093888
XPO6	6557.92858601678	-0.171502009518318	0.0390155547304934	-4.39573423223117	1.10398943334652e-05	0.00272743962093888
NOL6	3216.18959741644	-0.141784100722782	0.0323606842687558	-4.38136905713314	1.17935912428349e-05	0.00279240894780821
TRIB2	7238.28741344547	0.378534805092413	0.0865583037827329	4.37317725220865	1.22451222753299e-05	0.00279240894780821
PTX3	550.696446935198	-0.711035453394744	0.162558356851236	-4.37403199175691	1.21972492316262e-05	0.00279240894780821
GSTA4	387.135714434542	0.409669768968747	0.0949640074953867	4.31394777635778	1.60364843685393e-05	0.00355787816185033
NR4A2	711.08746749942	0.4704436030005	0.109131125284727	4.31081052058336	1.62657240092057e-05	0.00355787816185033
PLK2	3332.36391409102	-0.34114729707021	0.0797123354801169	-4.27973029538576	1.87119928636669e-05	0.00401110279025563
PRKCE	1319.23219371731	-0.425055128691219	0.0999560112966051	-4.25242187215663	2.11471003698019e-05	0.00444420826987327
CNN3	7164.34158892663	-0.268443136184188	0.0636987435378617	-4.21426108702802	2.50597263038504e-05	0.0051651951254744
IRAK1	7736.09046038769	-0.192563501119882	0.0459057794970445	-4.19475506634801	2.73166606263234e-05	0.00552415035081009
ABL2	5491.76631720613	-0.325259146723813	0.0776366195849035	-4.18950681344528	2.79561388439571e-05	0.0055487758542506
SH3BP4	6624.71821660487	-0.313620369030072	0.0752053509434807	-4.17018689621923	3.04349938298261e-05	0.00593095025214684
KYNU	1729.69077046965	0.26223469352437	0.0629794040935882	4.1638166841764	3.12971424512736e-05	0.00599004951415626
SESN3	2529.01223642511	0.529997149459217	0.127604139035901	4.15344794819003	3.27502736411582e-05	0.0061582005769462
TSC22D2	1463.96980932508	-0.252819931914611	0.06102434852782	-4.1429353694674	3.42888600076617e-05	0.00633634485451927
JUN	1599.88170903753	-0.378905581550724	0.0916530934787693	-4.13412758008538	3.56305515444749e-05	0.00647071104295906
MTMR2	2762.5805066843	-0.149915004719194	0.0362960842825232	-4.13033548060661	3.62234243867833e-05	0.00647071104295906
NCEH1	1693.47599562183	-0.425168418674674	0.103099863502634	-4.12385045169154	3.7259085647274e-05	0.00654660458963086
CTSF	1965.04976315847	0.274761802614019	0.0671622945295655	4.09101274068393	4.29493533092105e-05	0.00720312485823718
NEDD4L	6394.57359794137	-0.319329803753166	0.0780119686694812	-4.0933437419852	4.25196653327942e-05	0.00720312485823718
RAI14	4609.17200831063	-0.219527619269969	0.0537125932082448	-4.0870791402466	4.36838137512051e-05	0.00720312485823718
SERTAD2	2115.50587861227	-0.245723156875616	0.060080011634996	-4.08993191227155	4.31499839961967e-05	0.00720312485823718
HERC2.1	3217.56818932605	0.300919030978275	0.0737709130546273	4.0791013492736	4.52101252877778e-05	0.00734185034597579
CYTH3	7195.17717398363	-0.386925112923291	0.0956716911455222	-4.04430096604811	5.24794690718344e-05	0.00827169043399885
DHX37	2407.36064805205	-0.190038456684883	0.0469519829096643	-4.04750651427261	5.17661417607114e-05	0.00827169043399885
GBP2	1638.02854867744	0.432370340675146	0.107614449792353	4.01777216265496	5.87509606137386e-05	0.00912350520033526
IMPDH1	5298.95980067219	-0.188595725035951	0.0469792962670781	-4.01444338296982	5.95862440775768e-05	0.00912350520033526
CCNG1	7322.10072267192	0.144065539205739	0.0360005621903448	4.00175804044463	6.28735766563018e-05	0.00915889805690693
CTGF	4957.53212033576	-0.870705040689677	0.217180275345363	-4.00913498845633	6.09415739212609e-05	0.00915889805690693
RBM14	2809.52635546446	-0.206565229966398	0.051553204828287	-4.00683586315193	6.15375959841049e-05	0.00915889805690693
UGCG	7678.77005827266	-0.320628627405296	0.0801491441238737	-4.00039989085538	6.323553426116e-05	0.00915889805690693
FLNA	46218.3055325755	-0.244454504283735	0.0612484290333404	-3.99119631542986	6.57408319098745e-05	0.00927118732118467
MEF2C	2093.89128765176	0.282344322908808	0.0707372142025362	3.99145380676704	6.56694808517828e-05	0.00927118732118467
PCNX4	2742.10593820439	-0.224464790686322	0.0565302806778846	-3.97070009196214	7.16617419081145e-05	0.0099749422048204
DIS3L	1855.61977697578	-0.237346295311421	0.0600409624280561	-3.95307279752253	7.71539512726278e-05	0.010467544933418
NLN	2467.61645370319	-0.189934938183892	0.0480108016733641	-3.95608762120017	7.61872265534431e-05	0.010467544933418
LMNB2	7896.52896838297	-0.202267425467773	0.0512305318677494	-3.94818125234229	7.87471755107895e-05	0.010550152839058
NR2F2	1752.13678529103	-0.265452860992769	0.0676471118915139	-3.92408269282031	8.70608293513604e-05	0.0115199749257763
SLC2A1	4751.55447867173	-0.237756813398991	0.0606366219291774	-3.92101020529618	8.81785279677722e-05	0.0115255788141291
SH3BGRL	2670.02824727364	0.195798105693642	0.0501861247933488	3.90143902323359	9.5622549912989e-05	0.0123479818068363
SYDE1	1744.34451520833	-0.208356235064469	0.0536233230412525	-3.88555246574668	0.000102097439614173	0.0130271471164846
DLC1	2480.2424844055	-0.349229790725552	0.0900160552637951	-3.87963891221541	0.000104611644782318	0.013037530334615
FLII	6625.38765719669	-0.181575328669659	0.0468005942979942	-3.87976544728282	0.000104557240715083	0.013037530334615
CCBE1	524.700864544476	-0.648232871830554	0.168933474857499	-3.83720794459097	0.000124441094284488	0.0153305706728867
OGFRL1	1578.44962286984	-0.230271514115709	0.0601483808396003	-3.82839090431681	0.000128983781801639	0.0157096383335223
NPAS2	4558.30628425628	0.184451430464514	0.0484472675535923	3.80726178747798	0.000140513979383455	0.0169216722587851
FSTL1	7867.34330514084	-0.173917286539893	0.0457827697817491	-3.79874977789621	0.00014542782145917	0.0173188376711043
OXSR1	3675.44017317072	-0.209580879478635	0.0553072536918371	-3.78939226753846	0.000151016286177847	0.0177867313764194
TUFT1	898.13390988348	-0.390087146577755	0.103159715513065	-3.78139029016955	0.000155954948962936	0.0181687515541821
ZFAND3	2691.07300382867	-0.136947528770175	0.0363064015812232	-3.77199399570905	0.000161948154113174	0.018654092296485
TRPM8	555.793095667481	0.550530295095171	0.1460502188064	3.76945888609	0.00016360185443829	0.018654092296485
GGT7	1612.0070515393	0.193451591666801	0.0514813902687566	3.75769944550632	0.000171482675389047	0.0189479516991733
PCMTD2	1620.00023308407	0.268882168358368	0.071486954504858	3.76127602890254	0.000169048751097325	0.0189479516991733
MGP	947.224226670313	0.619294446475092	0.16476187014418	3.75872430880494	0.000170781890652467	0.0189479516991733
ACCS	562.368443586499	0.392909912067357	0.104917318122627	3.74494810864422	0.000180431064832935	0.0195457434529742
CRY1	964.177121798292	-0.253399470237633	0.0676670876685175	-3.74479645819792	0.000180540082276959	0.0195457434529742
IL7R	611.675169568771	-0.613796121528005	0.164020594106814	-3.74218935658951	0.000182423969186342	0.0195522010173921
FGF2	990.304604286265	-0.316595983691436	0.0847013145829938	-3.7377930348557	0.000185642662696657	0.0197001787998294
PISD	1388.93110869046	-0.200503931124262	0.053797183354004	-3.72703399367355	0.000193746335684663	0.0203585610379237
WDR4	995.516822663946	-0.245183353611706	0.0659019039791121	-3.72042898319626	0.000198884663706725	0.0205222887660646
CRISPLD1	1125.81185824827	0.315745412666022	0.0848752302066541	3.72011259229866	0.0001991339831751	0.0205222887660646
UCP2	1187.76010359932	-0.41060669248061	0.110476370443095	-3.7166924549907	0.00020184789809604	0.02060386449327
POPDC3	976.98266572161	0.249766189720771	0.0673712098843632	3.70731340804882	0.000209469648344884	0.0211801480279289
WLS	4310.93194058887	0.11955749441088	0.0322837093519191	3.70333821022871	0.00021278090292465	0.021313885210714
AGL	937.912448134048	0.296044402982035	0.080015606457405	3.69983327114604	0.000215741156909051	0.0214103122199186
PBXIP1	2632.90281398701	0.269393419247902	0.0730080144128004	3.68991570877004	0.000224328369525198	0.0220582703171658
PSMD2	17485.2382623365	-0.156555575423838	0.0424955791046454	-3.68404381637722	0.000229562753168675	0.0223677598951078
COL5A2	5363.36542070021	-0.425409962008113	0.115645671261811	-3.67856364502416	0.000234551164175691	0.0226479223210366
SGCD	1789.30786215269	0.524198626226099	0.142612855984193	3.67567581904537	0.000237220600879807	0.0227011642877658
SQSTM1	30744.1062477683	0.197699712928354	0.0539417748741865	3.66505761794949	0.0002472829052676	0.0234546741474171
TPM1	7099.57588176802	-0.298153750423666	0.0815743071652768	-3.65499580424974	0.000257186184014321	0.0241800133356622
SMG5	6821.78172506349	-0.131889876179048	0.0361095184674549	-3.65249612225981	0.000259703519208483	0.0242043679902306
ANXA4	3071.14922802663	0.207937441014308	0.0572060980958408	3.63488243274235	0.000278107431220309	0.0256961676536145
GPRC5A	2857.92768734733	-0.421083262920031	0.116089084169293	-3.62724252614452	0.00028646419773736	0.0260505817301767
MITF	15871.9963200529	-0.228311192332556	0.062948778420205	-3.62693602739197	0.000286804314625942	0.0260505817301767
DNAJC5	5247.91412818895	-0.116247108363407	0.0321001738749514	-3.62138562913262	0.000293029345060937	0.0263923405072532
RNF145	6514.12702062463	0.152550863756186	0.0425281782358883	3.58705380959519	0.00033443532862912	0.0298706487687242
CORO1C	14864.3174267102	-0.19893570837361	0.0555939009857604	-3.57837289425983	0.000345739938379566	0.0306251294177867
SLC7A5	28814.5973486842	-0.197334701441814	0.0552362813754693	-3.57255587320277	0.000353514025551839	0.0310570764415132
POM121	5767.79173893822	-0.217709397726371	0.0611761219144232	-3.55873159189325	0.000372650116828574	0.0316989202553068
RTN4	15073.857984428	-0.0913391679329274	0.0256527775710512	-3.56059563842328	0.000370014511800154	0.0316989202553068
TEX261	4211.5066727328	-0.111391830673648	0.0312870564965742	-3.56031672988621	0.000370407753229967	0.0316989202553068
NRCAM	2275.69125703729	0.440858759073669	0.123669776652238	3.56480597772384	0.000364125446588337	0.0316989202553068
EHD4	4337.80608168606	-0.236931334282763	0.0667057435227662	-3.5518880649595	0.000382477531398584	0.0322786943427561
CTNNBIP1	1653.64932946119	0.226761160646219	0.064217360515374	3.53115043699018	0.000413756353591918	0.0341126199830629
GSN	22369.5001589021	0.213021525702129	0.0603010079587409	3.53263623466928	0.000411438175667689	0.0341126199830629
PFAS	3754.99864088875	-0.123445337194921	0.0349530368638575	-3.53174854808015	0.000412821702922349	0.0341126199830629
ACTN1	20030.8740826746	-0.181690141118932	0.0515868936105556	-3.52202135857537	0.000428269637217549	0.0350396486389137
RAB13	7548.44392265418	0.156194487483797	0.0445330420505363	3.5073841869268	0.000452535287412664	0.0364682196277364
WWC1	545.619164466234	-0.429062714305413	0.122279369547635	-3.50887247695751	0.00045001061680018	0.0364682196277364
BMF	784.302957302786	0.506923220605759	0.145354081866133	3.48750591725812	0.00048754813465732	0.037325292194694
DDR1	753.667016037895	1.02290133419997	0.29281991224277	3.49327792077168	0.000477129658063915	0.037325292194694
FLNB	6800.667251751	-0.305095522861478	0.087220485122372	-3.49798011824198	0.000468796078463456	0.037325292194694
MBNL2	2099.49213429342	-0.216990081002394	0.0621342117254108	-3.49228025876205	0.00047891546571431	0.037325292194694
PNRC1	1081.28799584339	0.293915776222031	0.0842703477447432	3.48777220087317	0.000487062861075107	0.037325292194694
QPCT	5652.87054409452	0.312814946918153	0.0896019129780833	3.49116370980459	0.000480921472235415	0.037325292194694
RUSC2	1353.46368489915	-0.237935604154332	0.0681254493632362	-3.49260968372759	0.000478325109183329	0.037325292194694
PTPN1	6154.52147735593	-0.127165559022041	0.036699848326006	-3.46501592846993	0.000530200075454615	0.0393821610050427
PXDC1	1707.7787690945	-0.296212695033095	0.0854399751265398	-3.46690989310791	0.00052647834607627	0.0393821610050427
SLC16A3	6171.66515726818	-0.206971099563169	0.059711541926091	-3.46618246467912	0.000527904888027293	0.0393821610050427
TEAD4	1064.55383525915	-0.267447976021044	0.0770898825213318	-3.46930060435671	0.000521815246091662	0.0393821610050427
TMEM59	6774.57124193731	0.142904004020887	0.0412575368046649	3.46370663613463	0.000532787212701174	0.0393821610050427
WDR45B	3580.93957399892	-0.130384342580835	0.0377851184436743	-3.45067973718799	0.000559176690700649	0.0410496970611613
OSBPL3	3047.98829092828	-0.174132015164525	0.0505082073289404	-3.44759840772946	0.000565594322767667	0.0412383670164888
SSR3	13045.795260881	-0.159818919856328	0.0464004126092032	-3.44434264415633	0.000572449739676134	0.0414561912827622
GDPD5	1760.08442105601	-0.287554497787986	0.0836455379927199	-3.43777450284333	0.000586515904378792	0.0419085164208793
STK40	2649.9496261438	-0.146927655548424	0.0427221038614225	-3.43914840956833	0.00058354723304479	0.0419085164208793
CHML	3174.21951244844	-0.254684909653937	0.0741737965682426	-3.43362375174658	0.000595570267374637	0.0419955403007984
WWTR1	12230.505109736	0.265176657169175	0.0772236315974829	3.43387965165081	0.000595008310590584	0.0419955403007984
NFIX	2802.10986156978	-0.238203878940243	0.0695257559253653	-3.42612425812315	0.00061226021846947	0.0428902288990574
TSC1	1558.876057101	0.159469259752424	0.0465911942441118	3.42273389509817	0.000619947358571864	0.0431467259037224
MMP14	34247.8198839356	0.136797903493313	0.0401127956016083	3.41033082939321	0.000648841224479014	0.0448663241546198
GATAD2A	5132.05903968119	-0.137440942378014	0.0404607428790627	-3.39689616646005	0.000681548228862235	0.0468258584419579
EIF4A2	10499.1347154783	0.128776723584106	0.0379625975345766	3.39220000598788	0.000693338096586737	0.0472675428657794
TGM2	4652.85865849557	-0.374420832669665	0.110421383550026	-3.39083627312127	0.00069679714245131	0.0472675428657794
DPH2	2062.57004960411	-0.180656450357327	0.0533615734590217	-3.38551580560231	0.000710446180260915	0.0478903280505439
MT-ND5	55445.278077651	0.223164086410315	0.0661094602411675	3.37567551748587	0.000736347074067474	0.0493260496240949
WDR1	12308.1241019542	-0.191295115938063	0.0567614509053704	-3.37015902318952	0.000751248161534768	0.0500116633250288
PGAM5	2363.69857020981	-0.160748666977056	0.0477555043330491	-3.36607620884887	0.000762456404798778	0.0504444922631685
EZR	6073.29157297449	-0.206962714085909	0.0615514958869316	-3.36243191337045	0.000772591761808006	0.0506066205545275
LSAMP	1465.57453449308	0.45771333641594	0.136151100762789	3.36180415620287	0.00077435023054138	0.0506066205545275
ARSA	1108.47290112267	0.264222998351542	0.0789576945540643	3.34638694612115	0.000818720577109661	0.0510470680089887
BAMBI	5573.17089675169	0.19031233909964	0.0566968370477359	3.35666589195102	0.000788883792529718	0.0510470680089887
CLUH	5557.23735662185	-0.160680719310308	0.0480658480922108	-3.34292903772454	0.00082899096052391	0.0510470680089887
EHMT1	2276.83746140334	0.171057803322605	0.051061232208464	3.35005239639027	0.000807962752686224	0.0510470680089887
GADD45B	922.920420896936	-0.387675715354561	0.116005425170817	-3.34187573368842	0.000832143062320297	0.0510470680089887
HINT2	735.326002485524	0.231889724057239	0.069376195402599	3.34249698634457	0.000830282568715836	0.0510470680089887
LGALS3	25563.5419717833	0.285434565842954	0.0851783515346227	3.35102242178205	0.000805137830465637	0.0510470680089887
PLD1	1883.07634487975	0.256267096572592	0.0763822239924009	3.35506199188553	0.000793472011074514	0.0510470680089887
RAF1	3932.07330384945	-0.105247049505626	0.0314961385426115	-3.34158580624846	0.000833012644094803	0.0510470680089887
TOMM40	4460.71118838335	-0.190589621373731	0.0570383376374551	-3.3414301550152	0.000833479837803044	0.0510470680089887
ESRP1	673.251395919778	2.83607556591873	0.845709214997402	3.35348783674711	0.000797999210829171	0.0510470680089887
GPR153	1043.59530954765	0.212373507047894	0.0636297387903839	3.33764543254716	0.000844914922196523	0.0514533985005814
ANLN	13654.860275569	-0.272389349701094	0.0818671032901404	-3.32721372509951	0.000877190674839841	0.0519875567062529
CHFR	1455.90512696265	-0.188866399988818	0.0567681851836841	-3.32697618177691	0.000877938772516493	0.0519875567062529
EIF4G1	24639.4390384688	-0.123553248269966	0.0370913578253476	-3.3310521780233	0.000865183835735413	0.0519875567062529
RRBP1	12338.2508625184	-0.114439617512437	0.03437066075166	-3.32957281034843	0.000869793195380902	0.0519875567062529
TMEM198B	452.192473570964	0.353059065168385	0.106056855593576	3.3289603316296	0.000871708190457514	0.0519875567062529
SIPA1L3	1069.49192240267	-0.293664283361423	0.088407092955621	-3.32172763003121	0.000894619764167733	0.0521116012627704
URB2	1438.44696136665	-0.189266239015538	0.0569630199170297	-3.32261595840979	0.000891775973988579	0.0521116012627704
PM20D2	1081.45273364631	-0.245595674558635	0.0739337851870096	-3.32183282564826	0.000894282565044371	0.0521116012627704
CDR2	1308.70295404057	-0.206434971295174	0.0622888484314294	-3.31415616910028	0.000919201522759561	0.0532540644374972
GORASP2	4046.0536013579	-0.141846537843198	0.0429047569868459	-3.30607950737693	0.000946112373316071	0.0542269113219339
GOLGA7B	1716.10843617481	0.365850446350295	0.110619662848527	3.30728224014982	0.000942059234476566	0.0542269113219339
DUSP7	1097.92460917854	-0.208098433337802	0.0630566603539507	-3.30018164884884	0.000966222666970623	0.0547935161089478
UAP1	3295.05769669873	-0.288011535579864	0.0872346120157867	-3.30157409914018	0.000961439359000802	0.0547935161089478
TMEM43	4000.88884165877	-0.13659972231557	0.0414391612155266	-3.29639206752061	0.00097935237279908	0.0552457827982134
ELL2	2282.55710286705	-0.193726602363921	0.0588370265461475	-3.29259674963309	0.000992667373986706	0.0554344913779772
SNAPC1	1877.57487975204	-0.396802421580594	0.120517400986883	-3.29249069703868	0.000993041830991941	0.0554344913779772
DPP9	4437.6339620471	-0.150568936586387	0.0457601024731133	-3.29039771435947	0.0010004586733578	0.0555591505753832
CMIP	1004.28348731752	-0.196444958934103	0.0598535417867704	-3.28209414296555	0.00103039197528804	0.0557764706623091
F2R	4125.76604481614	-0.184224739937462	0.0560805018172757	-3.28500519730927	0.00101980490476056	0.0557764706623091
FJX1	540.933594334134	-0.336547578313026	0.102499650210312	-3.28340221281231	0.00102562219866195	0.0557764706623091
GSTM4	1993.41045949228	0.167817540207127	0.0511144453123385	3.28317248053198	0.00102645841777845	0.0557764706623091
CPN1	698.949539395446	0.519784201148856	0.158321098846405	3.28310127289556	0.00102671773967104	0.0557764706623091
HSF4	814.555156828312	0.39028226321358	0.119215334495458	3.27375890748727	0.00106127117321252	0.0560330267708956
MCFD2	7602.35540415613	-0.110740949548975	0.0337899201997707	-3.27733681802915	0.00104791282935419	0.0560330267708956
PDLIM5	2767.69522423698	-0.188471127488464	0.0575461740106566	-3.27512872451889	0.00105613837633088	0.0560330267708956
PRRC2A.3	1005.65349503579	-0.390067568631072	0.119106603677413	-3.27494493661766	0.00105682570542017	0.0560330267708956
PRRC2A.4	1005.65349503579	-0.390067568631072	0.119106603677413	-3.27494493661766	0.00105682570542017	0.0560330267708956
UBE3C	8215.0056828265	-0.115882652480121	0.0354247375675122	-3.27123531287347	0.00107078772098259	0.0560967986833829
ZC3H7B	7450.38338118885	-0.158789872231116	0.0485497109063993	-3.27066565931262	0.00107294679325373	0.0560967986833829
LMBRD1	906.626171112889	0.202226744383628	0.0618745577451326	3.26833438093601	0.00108182471690303	0.0562863947367316
RANGAP1	8424.71254671145	-0.196592840182015	0.0602027140108811	-3.26551457707509	0.00109265381397709	0.0565751863681472
B4GAT1	1463.01033218646	0.201046018490347	0.0616321523412863	3.26203143737476	0.00110616875456974	0.0567268742176003
SH3RF1	578.595399931346	-0.232437205654003	0.0712437386058484	-3.26256328208641	0.00110409519178326	0.0567268742176003
RXRB.3	302.961463063529	0.869443783019121	0.26692658022601	3.25723943371602	0.0011250149333055	0.0574186193103255
SNED1	719.92802410425	0.509530636224218	0.156972611122885	3.2459843317847	0.00117045281095349	0.0594545650606611
HPS1	2261.53436760007	0.163588454727362	0.050531090208038	3.23738225424909	0.00120631708701044	0.0608090484035266
MYLK	2101.03547758804	-0.275930987031369	0.0852461153239568	-3.23687461865871	0.00120846494774689	0.0608090484035266
HBP1	3187.17243439435	0.219646328699924	0.0680281185696926	3.22875795065394	0.00124329076650573	0.0619918283061039
ALDH1A1	777.093841133438	1.24615870921076	0.385962868706466	3.22870102346165	0.00124353826141186	0.0619918283061039
DYNC2LI1	544.449156696363	0.334763144872327	0.103946860315142	3.2205219460925	0.00127957395232659	0.0632003392674487
MFSD2A	306.907660199535	-0.404241117490982	0.125511247106083	-3.22075612195386	0.00127852894577757	0.0632003392674487
FOSL1	4530.74623569052	-0.309879965589509	0.0965307932481719	-3.21016698570824	0.00132657882635862	0.0649236158032497
LASP1	9280.28038477989	-0.251679816138189	0.0783721841536133	-3.21134110087942	0.0013211701277235	0.0649236158032497
UAP1L1	2776.5700028309	0.207212886744353	0.0647262305604137	3.20137423344847	0.00136773767694588	0.0663321829027416
CD36	7367.04558762759	0.615214548972953	0.192112847675257	3.20236026074059	0.00136306414018226	0.0663321829027416
HIRA	2208.71155502666	-0.144055284404286	0.0451691187968563	-3.1892427446318	0.00142646039588149	0.0688684798335938
COL7A1	533.31803115434	0.345043824846374	0.108252236728726	3.18740596289971	0.00143555129761548	0.0688872837736365
ETV6	1097.03412768427	0.234059814206446	0.0734519511002715	3.18657041372425	0.00143970438190843	0.0688872837736365
DDAH1	966.622189851957	-0.477662870719692	0.150082849328183	-3.18266126248175	0.00145928227460301	0.0689012661638548
PTGS2	3499.98473674028	0.405033114532529	0.127172825574236	3.18490300662617	0.00144802532480118	0.0689012661638548
ITGA11	2340.33993474721	0.378282265187929	0.118825812954566	3.183502437577	0.00145504888193073	0.0689012661638548
TAF6	3471.86940955085	-0.112112992452663	0.0352484194174307	-3.18065304219633	0.0014694350107627	0.0690763352866429
MT-ND6	11260.8004600306	0.308693472467889	0.0973493505036359	3.17098646134635	0.00151922223536137	0.0711049079414986
SEC61A1	17083.5695237698	-0.0980826540007519	0.0309920089959111	-3.16477237773428	0.0015520431752136	0.0723252119649538
NF2	2418.60072143306	-0.286593872476636	0.0906093589353001	-3.16296104336506	0.00156173228615159	0.072461673779103
USP20	1117.27658691257	0.229142992536632	0.0724783401979527	3.16153752846433	0.00156938594265876	0.0725029247130025
ADM	567.073434346504	-0.564707059592686	0.17907372582276	-3.15348919557083	0.00161331200398839	0.0735108632046574
NEK6	2571.26625091636	-0.178479628884522	0.0566147808303576	-3.15252706566726	0.00161863815229512	0.0735108632046574
NREP	1130.5456700774	0.287705495097348	0.0912312456746993	3.1535850789894	0.00161278209845316	0.0735108632046574
PFKP	9707.89047678358	-0.181489816480615	0.0575084646180528	-3.15588005497965	0.00160014648251696	0.0735108632046574
CTIF	400.737030911132	-0.247550417807057	0.0787051769293348	-3.14528760959802	0.00165923623169647	0.0735486552489568
CTIF.1	400.737030911132	-0.247550417807057	0.0787051769293348	-3.14528760959802	0.00165923623169647	0.0735486552489568
CTSA	16043.3228112682	0.126143611209442	0.0400495777724401	3.14968641932217	0.0016344579423262	0.0735486552489568
